arm,doc_id,field,truth_present,truth_value,predicted_value,abstained,emitted,confidence,grounded,requires_normalisation,strict_correct,canonical_correct,span_exact,span_iou,n_iters,reason
span_only,32,invoice_id,True,BILL-48605,18,False,True,0.011727184988558292,True,False,False,False,False,0.0,0,
span_only,32,invoice_date,True,2023-12-26,No BILL-48605 Date 2023-12-26 Payment,False,True,0.007685800548642874,True,False,False,False,False,0.055722420221545915,0,
span_only,32,due_date,True,2024-01-09,"3/8in 12 351.54 4,218.48 Page 1",False,True,0.00851033441722393,True,True,False,False,False,0.0,0,
span_only,32,vendor_name,True,Bluecrest Fabrication,"Composite Pinion 18 396.73 7,141.14",False,True,0.012313010171055794,True,False,False,False,False,0.0,0,
span_only,32,po_number,True,ORD-44084,Bracket 5 198.65 993.25,False,True,0.0140449283644557,True,False,False,False,False,0.0,0,
span_only,32,subtotal,True,"31,511.26",Value Titanium Grommet DN40 11,False,True,0.009683255106210709,True,False,False,False,False,0.0,0,
span_only,32,tax,True,"3,151.13",Value Ceramic Valve 22 105.99,False,True,0.010698770172894001,True,False,False,False,False,0.0,0,
span_only,32,total,True,"34,662.39",5 198.65 993.25 Composite Pinion 18,False,True,0.012605135329067707,True,False,False,False,False,0.0,0,
span_only,33,invoice_id,True,BILL-94425,179 Foundry,False,True,0.00981414970010519,True,False,False,False,False,0.0,0,
span_only,33,invoice_date,True,2024-08-29,Polymer Manifold DN40 4,False,True,0.011720179580152035,True,False,False,False,False,0.0,0,
span_only,33,due_date,True,2024-10-13,Brass Cartridge 6 9.79 58.74,False,True,0.013600392267107964,True,False,False,False,False,0.0,0,
span_only,33,vendor_name,True,Fairmount Technical LLC,INVOICE Remit To: Fairmount Technical LLC,False,True,0.013469318859279156,True,False,False,False,False,0.27049723604276876,0,
span_only,33,po_number,False,,Fairmount Technical LLC,False,True,0.013804092071950436,True,False,False,False,False,,0,
span_only,33,subtotal,False,,Value Brass Cartridge 6 9.79 58.74,False,True,0.00870226975530386,True,False,False,False,False,,0,
span_only,33,tax,True,764.09,24 21.98 527.52,False,True,0.014819526113569736,True,False,False,False,False,0.0,0,
span_only,33,total,True,"8,405.02",5 290.45,False,True,0.01922363042831421,True,False,False,False,False,0.0,0,
span_only,34,invoice_id,True,DOC-80058,133,False,True,0.013844768516719341,True,False,False,False,False,0.0,0,
span_only,34,invoice_date,True,2024-09-27,1 72.61 72.61 Ceramic Impeller 20,False,True,0.011282174848020077,True,False,False,False,False,0.0,0,
span_only,34,due_date,True,2024-10-27,Payment Due 2024-10-27,False,True,0.014552751556038857,True,False,False,False,False,0.12057749406212971,0,
span_only,34,vendor_name,True,Corvus Systems Inc,"Deposit Held 9,697.27 Amount Paid",False,True,0.01258784532546997,True,False,False,False,False,0.0,0,
span_only,34,po_number,False,,Sleeve 1/2in 21 339.96,False,True,0.007705385331064463,True,False,False,False,False,,0,
span_only,34,subtotal,True,"18,924.58","Tax (5%) 946.23 Total 19,870.81",False,True,0.010025826282799244,True,False,False,False,False,0.0005793449981491795,0,
span_only,34,tax,True,946.23,"Sales Tax (5%) 946.23 Total 19,870.81",False,True,0.014466135762631893,True,False,False,False,False,0.03091407522659531,0,
span_only,34,total,True,"19,870.81","Balance 9,142.64",False,True,0.013744039461016655,True,False,False,False,False,0.0,0,
span_only,35,invoice_id,True,IN-48976,18,False,True,0.01354558952152729,True,False,False,False,False,0.0,0,
span_only,35,invoice_date,True,2024-11-24,"EUR 17,988.14",False,True,0.013550867326557636,True,False,False,False,False,0.0,0,
span_only,35,due_date,False,,Amount Due,False,True,0.007103960495442152,True,False,False,False,False,,0,
span_only,35,vendor_name,True,Northwind Materials Co,Composite Adapter M10 4,False,True,0.006139065604656935,True,False,False,False,False,0.0,0,
span_only,35,po_number,True,PO-15031,131.83,False,True,0.011310141533613205,True,False,False,False,False,0.0,0,
