arm,doc_id,field,truth_present,truth_value,predicted_value,abstained,emitted,confidence,grounded,requires_normalisation,strict_correct,canonical_correct,span_exact,span_iou,n_iters,reason,seed
heuristic,1500,invoice_id,True,INV-43247,INV-43247,False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,1
heuristic,1500,invoice_date,True,2024-11-17,2024-11-17,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1500,due_date,False,,,True,False,,False,False,True,True,False,,0,no_candidate,1
heuristic,1500,vendor_name,True,Halcyon Fabrication Co,,True,False,,False,False,False,False,False,,0,no_candidate,1
heuristic,1500,po_number,True,ORD-22848,ORD-22848,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1500,subtotal,True,"$24,978.79","$24,978.79",False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1500,tax,True,"$4,995.76","$4,995.76",False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1500,total,True,"$29,974.55","$29,974.55",False,True,0.5454545454545455,True,False,True,True,True,1.0,0,,1
heuristic,1501,invoice_id,True,INV-32605,INV-32605,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1501,invoice_date,True,2024-05-30,30/05/2024,False,True,1.0,True,True,False,True,True,1.0,0,,1
heuristic,1501,due_date,True,2024-06-13,13/06/2024,False,True,1.0,True,True,False,True,True,1.0,0,,1
heuristic,1501,vendor_name,True,Norwood Instruments SA,,True,False,,False,False,False,False,False,,0,no_candidate,1
heuristic,1501,po_number,False,,,True,False,,False,False,True,True,False,,0,no_candidate,1
heuristic,1501,subtotal,True,"$35,635.20","$35,635.20",False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1501,tax,True,"$3,563.52","$3,563.52",False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1501,total,True,"$39,198.72","$39,198.72",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,1
heuristic,1502,invoice_id,True,DOC-48512,DOC-48512,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1502,invoice_date,True,2023-06-06,2023-06-06,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1502,due_date,True,2023-07-06,2023-07-06,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1502,vendor_name,True,Meridian Materials,,True,False,,False,False,False,False,False,,0,no_candidate,1
heuristic,1502,po_number,False,,,True,False,,False,False,True,True,False,,0,no_candidate,1
heuristic,1502,subtotal,False,,,True,False,,False,False,True,True,False,,0,no_candidate,1
heuristic,1502,tax,True,"$1,498.20","$1,498.20",False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1502,total,True,"$31,462.17","$31,462.17",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,1
heuristic,1503,invoice_id,True,IN-14109,IN-14109,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1503,invoice_date,True,2024-09-18,2024-09-18,False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,1
heuristic,1503,due_date,True,2024-10-09,2024-10-09,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1503,vendor_name,True,Norwood Components GmbH,,True,False,,False,False,False,False,False,,0,no_candidate,1
heuristic,1503,po_number,True,ORD-73281,ORD-73281,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1503,subtotal,True,GBP 21262.38,GBP 21262.38,False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,1
heuristic,1503,tax,True,GBP 2126.24,GBP 2126.24,False,True,0.27272727272727276,True,False,True,True,True,1.0,1,,1
heuristic,1503,total,True,GBP 23388.62,GBP 23388.62,False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,1
heuristic,1504,invoice_id,True,INV-20676,INV-20676,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1504,invoice_date,True,2024-01-15,2024-01-15,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1504,due_date,True,2024-02-05,2024-02-05,False,True,1.0,True,False,True,True,True,1.0,0,,1
heuristic,1504,vendor_name,True,Eastbrook Technical SA,,True,False,,False,False,False,False,False,,0,no_candidate,1
heuristic,1504,po_number,False,,,True,False,,False,False,True,True,False,,0,no_candidate,1
heuristic,1504,subtotal,True,"EUR 22,602.54","EUR 22,602.54",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,1
heuristic,1504,tax,True,"EUR 2,260.25","EUR 2,260.25",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,1
